CE-CO,CE-PM10,julian_day,hour
9.895104895104867,95.97902097902069,139,11
9.81818181818179,95.43356643356614,139,12
9.426573426573398,94.9930069930067,139,13
8.811188811188785,95.1888111888109,139,14
8.076923076923052,95.52447552447524,139,15
7.34265734265732,95.76223776223748,139,16
6.74125874125872,95.65034965034937,139,17
6.251748251748232,95.52447552447524,139,18
5.853146853146835,95.41958041958013,139,19
5.755244755244737,95.41958041958013,139,20
5.9090909090908905,95.6853146853144,139,21
6.020979020979002,96.25174825174796,139,22
6.181818181818164,96.90209790209761,139,23
6.2237762237762055,97.30769230769201,140,0
6.286713286713267,97.09090909090881,140,1
6.4195804195804005,96.60839160839132,140,2
6.734265734265714,95.40559440559412,140,3
7.097902097902075,93.4755244755242,140,4
7.608391608391584,91.44055944055916,140,5
8.195804195804172,89.93706293706266,140,6
8.867132867132842,88.70629370629342,140,7
9.643356643356613,88.20979020978993,140,8
10.328671328671298,88.265734265734,140,9
10.65034965034962,88.52447552447526,140,10
10.825174825174793,88.67132867132841,140,11
10.468531468531438,88.34965034965009,140,12
9.776223776223746,88.14685314685286,140,13
8.881118881118855,88.5664335664333,140,14
7.930069930069906,89.60839160839134,140,15
6.916083916083895,90.81118881118853,140,16
6.076923076923059,92.46153846153817,140,17
5.419580419580402,94.0769230769228,140,18
5.027972027972012,95.46853146853118,140,19
4.818181818181803,96.84615384615356,140,20
4.769230769230754,97.55944055944025,140,21
4.846153846153832,97.80419580419552,140,22
4.999999999999985,97.22377622377593,140,23
4.923076923076908,96.41258741258713,141,0
4.923076923076908,96.23776223776194,141,1
4.909090909090894,96.5944055944053,141,2
5.020979020979006,97.37762237762207,141,3
5.153846153846138,98.20979020978993,141,4
5.433566433566417,99.17482517482487,141,5
5.818181818181801,99.95804195804166,141,6
6.265734265734247,100.95104895104865,141,7
6.81118881118879,101.67132867132835,141,8
7.335664335664314,102.1118881118878,141,9
7.734265734265711,102.43356643356613,141,10
7.839160839160816,102.4125874125871,141,11
7.650349650349627,102.88111888111857,141,12
7.335664335664314,103.16083916083886,141,13
6.832167832167811,102.36363636363605,141,14
6.321678321678302,100.85314685314654,141,15
5.755244755244737,98.76223776223746,141,16
5.251748251748236,96.22377622377593,141,17
4.930069930069915,93.6783216783214,141,18
4.741258741258727,91.25874125874098,141,19
4.790209790209776,88.94405594405566,141,20
5.0769230769230616,87.08391608391582,141,21
5.496503496503479,86.23076923076897,141,22
5.930069930069912,86.5734265734263,141,23
6.335664335664317,87.9650349650347,142,0
6.748251748251727,89.40559440559413,142,1
7.188811188811166,90.42657342657316,142,2
7.66433566433564,91.40559440559413,142,3
8.24475524475522,92.1818181818179,142,4
8.755244755244728,93.05594405594377,142,5
9.496503496503468,93.71328671328644,142,6
10.13986013986011,93.71328671328644,142,7
10.923076923076891,92.95104895104868,142,8
11.636363636363601,92.04195804195776,142,9
12.097902097902061,91.51048951048924,142,10
12.216783216783181,91.62237762237734,142,11
11.916083916083881,92.12587412587385,142,12
11.223776223776191,93.06293706293678,142,13
10.272727272727241,94.3846153846151,142,14
9.209790209790182,96.10489510489481,142,15
8.195804195804172,98.06993006992977,142,16
7.160839160839138,100.293706293706,142,17
6.587412587412567,102.05594405594374,142,18
6.160839160839142,103.23776223776193,142,19
5.965034965034946,103.79720279720249,142,20
5.9440559440559255,104.05594405594374,142,21
6.053846153846136,104.08391608391577,142,22
6.221303948576656,104.06993006992977,142,23
6.365193897012059,103.9090909090906,143,0
6.407011170647515,103.66433566433535,143,1
6.422013844741098,103.4125874125871,143,2
5.977634486725377,103.24475524475494,143,3
6.017929040656294,103.0979020979018,143,4
6.305135268771613,102.98601398601369,143,5
6.937155268973429,102.92307692307662,143,6
7.613289740562445,102.92307692307662,143,7
8.41745476745474,102.99999999999969,143,8
9.370629370629343,102.99999999999969,143,9
10.185464535464504,103.07692307692275,143,10
10.765456765456733,102.99999999999969,143,11
11.008741258741226,103.01398601398571,143,12
10.76123876123873,103.04195804195774,143,13
10.030303030303001,103.0209790209787,143,14
8.825174825174798,102.90209790209758,143,15
8.097902097902073,102.57342657342627,143,16
7.328671328671305,102.0139860139857,143,17
6.664335664335644,101.43356643356613,143,18
6.1748251748251555,100.87412587412557,143,19
5.930069930069912,100.300699300699,143,20
5.832167832167814,99.9090909090906,143,21
5.846153846153829,99.8041958041955,143,22
5.846153846153829,99.6923076923074,143,23
5.923076923076906,99.84615384615354,144,0
5.9090909090908905,100.13986013985985,144,1
6.020979020979002,100.35664335664305,144,2
6.230769230769212,100.43356643356614,144,3
6.51048951048949,100.29370629370598,144,4
6.832167832167812,100.39860139860109,144,5
7.167832167832146,100.22377622377593,144,6
7.489510489510466,99.54545454545425,144,7
7.846153846153822,98.6923076923074,144,8
8.055944055944032,97.76223776223748,144,9
8.181818181818159,96.79020979020949,144,10
8.055944055944032,95.87412587412558,144,11
7.769230769230745,94.8811188811186,144,12
7.335664335664313,93.7832167832165,144,13
7.076923076923055,92.84615384615357,144,14
6.839160839160819,92.23076923076896,144,15
6.776223776223755,92.02097902097873,144,16
6.797202797202775,92.45454545454518,144,17
7.04195804195802,92.23776223776196,144,18
7.482517482517459,92.09090909090881,144,19
8.167832167832142,92.24475524475497,144,20
8.825174825174798,92.45454545454517,144,21
9.426573426573398,92.86013986013958,144,22
9.713286713286685,93.52447552447524,144,23
9.594405594405567,93.8811188811186,145,0
9.23776223776221,93.71328671328642,145,1
8.748251748251722,93.64335664335636,145,2
7.999999999999976,93.0769230769228,145,3
7.265734265734243,91.79720279720252,145,4
6.573426573426554,89.86013986013958,145,5
6.1048951048950855,87.15384615384588,145,6
6.1048951048950855,84.53146853146828,145,7
6.559440559440539,81.99999999999976,145,8
7.286713286713264,79.87412587412564,145,9
8.24475524475522,78.46853146853124,145,10
9.223776223776197,77.55944055944032,145,11
9.937062937062908,76.76923076923053,145,12
10.496503496503465,76.16783216783193,145,13
10.706293706293675,75.8251748251746,145,14
10.46153846153843,74.86013986013963,145,15
9.979020979020948,73.46853146853124,145,16
9.39860139860137,71.6153846153844,145,17
8.860139860139832,69.38461538461516,145,18
8.671328671328645,66.88811188811168,145,19
8.818181818181792,64.55944055944036,145,20
9.272727272727245,62.370629370629175,145,21
10.006993006992976,60.30769230769212,145,22
10.825174825174791,58.314685314685136,145,23
11.671328671328636,56.89510489510472,146,0
12.258741258741223,56.188811188811016,146,1
12.608391608391571,55.89510489510472,146,2
12.867132867132828,56.181818181818,146,3
13.104895104895064,57.45454545454528,146,4
13.32867132867129,59.18881118881101,146,5
13.559440559440517,61.35664335664316,146,6
13.83216783216779,63.965034965034775,146,7
14.272727272727227,66.93006993006973,146,8
14.853146853146809,69.38461538461517,146,9
15.251748251748205,70.96503496503475,146,10
15.342657342657297,71.9020979020977,146,11
15.027972027971982,72.23776223776201,146,12
13.916083916083874,71.8111888111886,146,13
12.517482517482481,70.7202797202795,146,14
10.972027972027938,69.42657342657321,146,15
9.342657342657315,68.41958041958021,146,16
7.769230769230745,67.55944055944036,146,17
6.39160839160837,67.34965034965015,146,18
5.272727272727256,67.67832167832147,146,19
4.783216783216768,68.35664335664315,146,20
4.727272727272712,69.15384615384593,146,21
4.804195804195789,69.65734265734244,146,22
4.993006993006977,70.02097902097881,146,23
5.090909090909076,70.07692307692287,147,0
5.020979020979006,69.96503496503476,147,1
5.076923076923061,69.5174825174823,147,2
5.153846153846138,68.9020979020977,147,3
5.300699300699284,68.54545454545433,147,4
5.629370629370612,67.87412587412567,147,5
6.0839160839160655,67.58741258741239,147,6
6.608391608391589,67.26573426573407,147,7
7.3916083916083695,66.82517482517463,147,8
8.069930069930045,66.50349650349631,147,9
8.601398601398575,65.88111888111868,147,10
8.804195804195778,65.38461538461519,147,11
8.741258741258715,65.18181818181799,147,12
8.412587412587389,65.27272727272708,147,13
7.923076923076899,65.33566433566413,147,14
7.223776223776202,65.74125874125855,147,15
6.51048951048949,66.44755244755224,147,16
5.916083916083897,67.07692307692287,147,17
5.419580419580402,68.27972027972007,147,18
5.0769230769230616,69.06293706293684,147,19
4.944055944055929,69.53846153846132,147,20
4.909090909090894,69.6013986013984,147,21
4.923076923076908,69.25174825174804,147,22
4.923076923076908,68.67132867132847,147,23
4.999999999999985,67.99300699300679,148,0
4.999999999999985,67.19580419580399,148,1
4.923076923076908,66.27272727272707,148,2
4.923076923076908,65.19580419580399,148,3
4.909090909090894,63.97902097902078,148,4
5.020979020979006,63.02097902097883,148,5
5.230769230769215,62.02797202797183,148,6
5.510489510489494,60.70629370629352,148,7
5.832167832167814,59.53146853146835,148,8
6.2447552447552255,58.10489510489492,148,9
6.566433566433547,56.88811188811172,148,10
